Classifieur,f2 score,f2 score sur réduit,f2 score sur augmenté
RandomForestClassifier,0.9553995831488991,0.9777002772731087,0.8675036618237725
GradientBoostingClassifier,0.9032078637993021,0.9766963474531186,0.9332341840708789
DecisionTreeClassifier,0.9179890872615564,0.9416965064966533,0.8928702256645268
GaussianNB,0.7701472893210795,0.7524327564840733,0.6831071527270914
KNeighborsClassifier,0.7813269524755773,0.769671325800753,0.7525461325556243
LinearDiscriminantAnalysis,0.7569293083282026,0.7964955995242574,0.44159949972131624
SVC,0.8374697137980578,0.852274954013061,0.8336911820821141
SGDClassifier,0.8374697137980578,0.7857177385574577,0.7941106243528568
LogisticRegression,0.7032829193007134,0.678299939322373,0.8136022439673984
